baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,90.69699235169931,84.49504872789429,96.88232507867937,1.0,True
FIFO,unseen,140,76.91684662623504,72.64520234612745,81.356428460073,1.0,True
RoundRobin,seen,160,8.025287921737265,5.014807126462921,11.037516828287913,0.625,True
RoundRobin,unseen,140,22.385965014260595,18.487934472938782,26.101161574342903,0.8,True
Random,seen,160,15.091198874119826,12.156308704449406,18.158511555991304,0.78125,True
Random,unseen,140,27.697091617350903,24.013945616776706,31.342864803135857,0.85,True
Greedy,seen,160,-0.4908606340123992,-3.8948753474688185,2.896096505155156,0.4125,False
Greedy,unseen,140,-2.7599713968294526,-4.779923124258796,-0.7224338966450856,0.3357142857142857,True
