baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,91.95265968731512,85.41115423099447,98.52731153196386,1.0,True
FIFO,unseen,140,77.9427203967843,73.86233694575503,82.09866647023573,1.0,True
RoundRobin,seen,160,9.28095525735308,5.971822173851028,12.45762521666908,0.65625,True
RoundRobin,unseen,140,23.411838784809845,19.597116464784794,27.075580394657706,0.8071428571428572,True
Random,seen,160,16.34686620973564,12.929562258181958,19.66867544483084,0.75625,True
Random,unseen,140,28.72296538790015,25.16253705619572,32.31055751329997,0.8571428571428571,True
Greedy,seen,160,0.7648067016034158,-3.0985388197649795,4.6170281847743375,0.4375,False
Greedy,unseen,140,-1.7340976262802001,-3.8735982445716854,0.39891341671252384,0.4,False
