baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,77.84200669040787,71.67819010868767,83.95823471022146,1.0,True
FIFO,unseen,140,73.2269559224004,68.81526364249414,77.55501193235325,1.0,True
RoundRobin,seen,160,-4.829697739554176,-8.620669958464973,-1.0423010211043213,0.48125,True
RoundRobin,unseen,140,18.69607431042595,14.037795107419154,23.160038255888892,0.7285714285714285,True
Random,seen,160,2.2362132128283876,-1.364013293495486,5.852690657612578,0.5375,False
Random,unseen,140,24.007200913516254,19.633023015448664,28.289293058810888,0.7571428571428571,True
Greedy,seen,160,-13.34584629530384,-16.97990668916003,-9.714786291620827,0.25,True
Greedy,unseen,140,-6.449862100664095,-8.862260619296872,-4.199900124436217,0.34285714285714286,True
