baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,101.52987891136378,95.98883920393115,106.99388270947723,1.0,True
FIFO,unseen,140,83.95163111759778,81.00936911096015,86.92252674682375,1.0,True
RoundRobin,seen,160,18.85817448140175,15.51744241982954,21.954296608113815,0.86875,True
RoundRobin,unseen,140,29.420749505623313,26.241547247639186,32.483907315320465,0.9142857142857143,True
Random,seen,160,25.924085433784313,22.9726743288788,28.934158701910988,0.925,True
Random,unseen,140,34.73187610871363,31.645819762792225,37.74242848847545,0.9357142857142857,True
Greedy,seen,160,10.342025925652088,7.818980802005674,12.893994086877296,0.7125,True
Greedy,unseen,140,4.274813094533271,2.8974404498289457,5.737930641500847,0.6642857142857143,True
ECT,seen,160,5.695342246988042,4.429569779330629,6.977744618658053,0.76875,True
ECT,unseen,140,6.748648193285947,5.538310572587289,8.038149823156235,0.8642857142857143,True
