baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,98.61166050455536,93.20241343105995,103.96538359701317,1.0,True
FIFO,unseen,140,81.35124301014092,78.4169768874513,84.30470687258217,1.0,True
RoundRobin,seen,160,15.93995607459332,12.474152013615717,19.168226501069274,0.8,True
RoundRobin,unseen,140,26.820361398166472,23.604350174088676,30.00138188453001,0.9071428571428571,True
Random,seen,160,23.00586702697588,19.982423689374993,26.058198462082032,0.86875,True
Random,unseen,140,32.13148800125678,28.972462674427952,35.23336597872599,0.9285714285714286,True
Greedy,seen,160,7.423807518843655,4.904253834052176,9.994925597669356,0.5875,True
Greedy,unseen,140,1.674424987076427,0.40321396342889493,3.0036204153140877,0.5214285714285715,True
ECT,seen,160,2.7771238401796103,1.6980527556463252,3.912065644234495,0.54375,True
ECT,unseen,140,4.1482600858291026,2.9576375434775692,5.410828626377384,0.6571428571428571,True
