baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,80,112.21095955205188,100.5629306165049,124.08664715637617,1.0,True
FIFO,unseen,70,90.86848499709012,84.04669664954365,97.65744766870108,1.0,True
RoundRobin,seen,80,27.809484055244546,20.808716983374072,35.017132957062685,0.775,True
RoundRobin,unseen,70,38.393884225185744,32.934745510994965,43.43876541038407,0.9,True
Random,seen,80,36.49743249941672,29.59497793624627,43.60513988109361,0.8875,True
Random,unseen,70,42.09470365340061,37.294809552671296,46.75565381961908,0.9714285714285714,True
Greedy,seen,80,18.757485275407017,10.993606316899085,26.803442228084876,0.675,True
Greedy,unseen,70,11.452341498729796,7.030788152570894,15.868779384223691,0.6285714285714286,True
