baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,80,98.66278009386859,88.67156206021005,108.6608326245704,1.0,True
FIFO,unseen,70,82.32566512562927,76.04125366325434,88.54485381080583,1.0,True
RoundRobin,seen,80,14.261304597061269,8.709193447744239,19.827790146817453,0.7125,True
RoundRobin,unseen,70,29.85106435372488,24.50491538179083,34.78716861693376,0.8428571428571429,True
Random,seen,80,22.94925304123344,17.583930183130775,28.307146930613566,0.825,True
Random,unseen,70,33.551883781939736,28.9665281964089,37.91253107326876,0.9,True
Greedy,seen,80,5.2093058172237425,-0.7373242140567644,11.234014080033555,0.5125,False
Greedy,unseen,70,2.909521627268928,-0.3899591630166179,6.295332429941846,0.4714285714285714,False
