baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,98.56333810151698,93.14645932172364,103.91152312034988,1.0,True
FIFO,unseen,140,81.43883598043527,78.52455307495057,84.34111711670802,1.0,True
RoundRobin,seen,160,15.891633671554928,12.491093692096142,19.103307816448943,0.80625,True
RoundRobin,unseen,140,26.907954368460814,23.698060440281914,30.058331488028127,0.9071428571428571,True
Random,seen,160,22.95754462393749,19.930942396842518,26.05813268987227,0.86875,True
Random,unseen,140,32.21908097155113,29.07992306630113,35.30377709828548,0.9285714285714286,True
Greedy,seen,160,7.375485115805264,4.825358666512853,9.929813521374621,0.58125,True
Greedy,unseen,140,1.7620179573707757,0.4429995853023268,3.1119147702425662,0.5357142857142857,True
ECT,seen,160,2.72880143714122,1.6745101570801308,3.8667457089351185,0.54375,True
ECT,unseen,140,4.23585305612345,3.073539465309656,5.496515769159465,0.6071428571428571,True
