baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,80,115.75030364285276,103.61377383782447,128.23726169636134,1.0,True
FIFO,unseen,70,93.48625128987244,86.5911865592366,100.40048728299693,1.0,True
RoundRobin,seen,80,31.348828146045435,24.70682149216289,38.570061902248476,0.8125,True
RoundRobin,unseen,70,41.01165051796804,35.61485742800353,46.13649671084248,0.9285714285714286,True
Random,seen,80,40.036776590217606,33.26416659260512,47.45293149656065,0.9625,True
Random,unseen,70,44.7124699461829,39.58329559737835,49.705250667742725,0.9714285714285714,True
Greedy,seen,80,22.29682936620791,14.252427155446894,30.761101911696432,0.6875,True
Greedy,unseen,70,14.070107791512095,9.93957252151877,18.33821444339617,0.8,True
