baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,98.45321783314758,93.0074905276699,103.8163240081709,1.0,True
FIFO,unseen,140,81.51398504793198,78.62771025140364,84.38239903804399,1.0,True
RoundRobin,seen,160,15.781513403185533,12.348125377397844,18.987336886583474,0.8,True
RoundRobin,unseen,140,26.98310343595752,23.679251660071444,30.19429877324627,0.9,True
Random,seen,160,22.84742435556809,19.849897136992695,25.90033637301477,0.86875,True
Random,unseen,140,32.294230039047825,29.106456336323866,35.44567848240802,0.9357142857142857,True
Greedy,seen,160,7.265364847435866,4.716697065640528,9.878589732327198,0.6,True
Greedy,unseen,140,1.8371670248674754,0.5568084872635645,3.1604242107344764,0.55,True
ECT,seen,160,2.618681168771822,1.590861367423869,3.7153820687804933,0.51875,True
ECT,unseen,140,4.311002123620151,3.097773081755028,5.624270334041557,0.5928571428571429,True
