baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,85.74668091427,81.04840860542215,90.17953294943877,1.0,True
FIFO,unseen,140,69.92141934375424,66.60624799019344,73.19992255186612,1.0,True
RoundRobin,seen,160,3.074976484307964,-0.6027737495843937,6.485040224554843,0.59375,False
RoundRobin,unseen,140,15.39053773177978,11.873520060159695,18.9041445551393,0.7571428571428571,True
Random,seen,160,10.140887436690527,6.877250065644263,13.288745998935369,0.725,True
Random,unseen,140,20.701664334870088,17.334858375306442,24.088879546970865,0.8142857142857143,True
Greedy,seen,160,-5.4411720714417005,-7.914256199594218,-2.9509099475365907,0.28125,True
Greedy,unseen,140,-9.755398679310263,-11.406771394443052,-8.077180286674071,0.12857142857142856,True
