regime,feature,flip_rate
light,task_cpu,0.004464285714285714
light,task_ram,0.0011160714285714285
light,task_data_size,0.04352678571428572
light,task_exec_time,0.06584821428571429
light,task_slack,0.046130952380952384
light,task_prio_high,0.05543154761904762
light,task_prio_medium,0.027157738095238096
light,task_prio_low,0.10007440476190475
light,pending_decisions,0.0
light,server1_cpu_util,0.0018601190476190473
light,server1_ram_util,0.0
light,server1_queue_fill,0.016369047619047616
light,server1_backlog,0.030877976190476192
light,server1_net_delay,0.09188988095238095
light,server1_can_start_now,0.026413690476190476
light,server1_cpu_cores,0.0
light,server1_ram_gb,0.0
light,server1_bandwidth,0.0
light,server1_power_max,0.0
light,server2_cpu_util,0.006324404761904763
light,server2_ram_util,0.001488095238095238
light,server2_queue_fill,0.03459821428571428
light,server2_backlog,0.038690476190476185
light,server2_net_delay,0.19010416666666666
light,server2_can_start_now,0.07552083333333333
light,server2_cpu_cores,0.0
light,server2_ram_gb,0.0
light,server2_bandwidth,0.0
light,server2_power_max,0.0
light,server3_cpu_util,0.0
light,server3_ram_util,0.0033482142857142855
light,server3_queue_fill,0.030133928571428572
light,server3_backlog,0.015625
light,server3_net_delay,0.004092261904761905
light,server3_can_start_now,0.0026041666666666665
light,server3_cpu_cores,0.0
light,server3_ram_gb,0.0
light,server3_bandwidth,0.0
light,server3_power_max,0.0
light,server4_cpu_util,0.03459821428571429
light,server4_ram_util,0.001488095238095238
light,server4_queue_fill,0.004836309523809523
light,server4_backlog,0.005952380952380952
light,server4_net_delay,0.22135416666666666
light,server4_can_start_now,0.2552083333333333
light,server4_cpu_cores,0.0
light,server4_ram_gb,0.0
light,server4_bandwidth,0.0
light,server4_power_max,0.0
heavy,task_cpu,0.00828363154406892
heavy,task_ram,0.00016567263088137837
heavy,task_data_size,0.05284956925115971
heavy,task_exec_time,0.0629555997349238
heavy,task_slack,0.039761431411530816
heavy,task_prio_high,0.0399271040424122
heavy,task_prio_medium,0.03180914512922465
heavy,task_prio_low,0.0873094764744864
heavy,pending_decisions,0.0009940357852882703
heavy,server1_cpu_util,0.006958250497017894
heavy,server1_ram_util,0.0011597084161696486
heavy,server1_queue_fill,0.017229953611663355
heavy,server1_backlog,0.02468522200132538
heavy,server1_net_delay,0.03280318091451292
heavy,server1_can_start_now,0.007620941020543406
heavy,server1_cpu_cores,0.0
heavy,server1_ram_gb,0.0
heavy,server1_bandwidth,0.0
heavy,server1_power_max,0.0
heavy,server2_cpu_util,0.011100066269052354
heavy,server2_ram_util,0.0011597084161696486
heavy,server2_queue_fill,0.13204108681245857
heavy,server2_backlog,0.0927766732935719
heavy,server2_net_delay,0.1756129887342611
heavy,server2_can_start_now,0.049039098740888
heavy,server2_cpu_cores,0.0
heavy,server2_ram_gb,0.0
heavy,server2_bandwidth,0.0
heavy,server2_power_max,0.0
heavy,server3_cpu_util,0.0006626905235255135
heavy,server3_ram_util,0.0004970178926441351
heavy,server3_queue_fill,0.013916500994035784
heavy,server3_backlog,0.006626905235255136
heavy,server3_net_delay,0.0006626905235255135
heavy,server3_can_start_now,0.0009940357852882703
heavy,server3_cpu_cores,0.0
heavy,server3_ram_gb,0.0
heavy,server3_bandwidth,0.0
heavy,server3_power_max,0.0
heavy,server4_cpu_util,0.039761431411530816
heavy,server4_ram_util,0.001325381047051027
heavy,server4_queue_fill,0.030815109343936383
heavy,server4_backlog,0.014744864148442676
heavy,server4_net_delay,0.2337640821736249
heavy,server4_can_start_now,0.06974817760106031
heavy,server4_cpu_cores,0.0
heavy,server4_ram_gb,0.0
heavy,server4_bandwidth,0.0
heavy,server4_power_max,0.0
