regime,type,n_cols,flip_rate
light,task: task_cpu,1,0.00818452380952381
light,task: task_ram,1,0.0011160714285714285
light,task: task_data_size,1,0.03757440476190477
light,task: task_exec_time,1,0.06547619047619047
light,task: task_slack,1,0.04389880952380953
light,task: task_prio_high,1,0.052455357142857144
light,task: task_prio_medium,1,0.026041666666666668
light,task: task_prio_low,1,0.09561011904761903
light,server: pending_decisions,1,0.0003720238095238095
light,server: cpu_util,4,0.029761904761904764
light,server: ram_util,4,0.004836309523809523
light,server: queue_fill,4,0.07142857142857142
light,server: backlog,4,0.06956845238095237
light,server: net_delay,4,0.39248511904761907
light,server: can_start_now,4,0.28683035714285715
light,server: cpu_cores,4,0.0
light,server: ram_gb,4,0.0
light,server: bandwidth,4,0.0
light,server: power_max,4,0.0
heavy,task: task_cpu,1,0.009774685222001325
heavy,task: task_ram,1,0.00016567263088137837
heavy,task: task_data_size,1,0.057654075546719676
heavy,task: task_exec_time,1,0.061630218687872766
heavy,task: task_slack,1,0.038601722995361167
heavy,task: task_prio_high,1,0.04108681245858184
heavy,task: task_prio_medium,1,0.0329688535453943
heavy,task: task_prio_low,1,0.08797216699801193
heavy,server: pending_decisions,1,0.0006626905235255135
heavy,server: cpu_util,4,0.040589794565937705
heavy,server: ram_util,4,0.002485089463220676
heavy,server: queue_fill,4,0.140987408880053
heavy,server: backlog,4,0.10619615639496355
heavy,server: net_delay,4,0.3431080185553346
heavy,server: can_start_now,4,0.10006626905235255
heavy,server: cpu_cores,4,0.0
heavy,server: ram_gb,4,0.0
heavy,server: bandwidth,4,0.0
heavy,server: power_max,4,0.0
