baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,101.31835823409867,95.75988921203928,106.79423285808235,1.0,True
FIFO,unseen,140,82.88659972786775,79.98827797801498,85.82013766537807,1.0,True
RoundRobin,seen,160,18.646653804136612,15.233985174576524,21.774562823347708,0.85625,True
RoundRobin,unseen,140,28.355718115893282,25.2146749107283,31.355616480222398,0.9071428571428571,True
Random,seen,160,25.712564756519175,22.71856755301836,28.709977788404395,0.93125,True
Random,unseen,140,33.66684471898359,30.613803038463818,36.66080776656583,0.95,True
Greedy,seen,160,10.130505248386946,7.560864417837735,12.693933661816862,0.68125,True
Greedy,unseen,140,3.209781704803241,1.7220331663011397,4.859652407518698,0.5714285714285714,True
ECT,seen,160,5.483821569722902,4.247819222680719,6.725850480831913,0.8,True
ECT,unseen,140,5.683616803555916,4.292120723872993,7.112851473782392,0.7857142857142857,True
