agent,seen,condition,episode_return_mean,episode_return_std,completion_rate_mean,completion_rate_std,num_completed_mean,num_completed_std,num_failed_mean,num_failed_std,w_latency_mean,w_latency_std,w_sla_mean,w_sla_std,w_rejection_mean,w_rejection_std,w_balance_mean,w_balance_std,w_energy_mean,w_energy_std,w_utilization_mean,w_utilization_std
FIFO,False,burst_unseen,-601.83558569209,83.48069417930598,0.003720090974866537,0.005171211663455072,0.6,0.8432740427115678,163.8,18.4499322491981,-0.4586662140989105,0.7533237385562284,-516.9,72.26063935504584,0.0,0.0,-42.363296512839966,5.601083366975597,-42.157827960058526,6.162175012351114,0.04420499490741283,0.04958755132229954
FIFO,False,heavy_unseen,-701.6938810430504,57.75712935559576,0.004100623611659615,0.004175357865977463,0.7,0.6749485577105528,178.5,13.599428092550232,-0.4692753613062418,0.42670252186755553,-599.7,49.81867119865804,0.0,0.0,-47.292731672975144,3.9634080189569536,-54.32226860361315,4.700406793112881,0.0903945948443127,0.06899151126510986
FIFO,False,normal_unseen,-177.89519115803566,25.95037728563043,0.009624495399144454,0.010366002583796257,0.5,0.5270462766947299,51.2,5.731007280089987,-0.21420814389935167,0.23050758418526424,-158.85,23.124121604938853,0.0,0.0,-6.815638988325354,1.6247962843468589,-12.020818999458804,1.7753304191041508,0.005474973647848719,0.007001998538521283
FIFO,False,unseen_congested,-610.9839290517524,48.70491774958651,0.003122847796143251,0.005389115878780661,0.4,0.6992058987801011,118.5,9.857315388414163,-0.5187744780005643,0.9207213846420463,-459.9,45.662895221393924,0.0,0.0,-25.003446887635647,3.823929662108551,-125.79187102667069,4.813532738489293,0.2301633405544381,0.24194925477760143
FIFO,False,unseen_normal,-543.9853714243405,55.14980765150976,0.01417195302569101,0.006915308155924682,1.7,0.8232726023485646,118.9,10.989388821343372,-2.181708403155773,1.0690945587048961,-464.1,49.47322508185614,0.0,0.0,-25.70577136343788,3.7797897685297817,-52.788436557923696,5.886350409677254,0.7905449001767492,0.3487330311997722
FIFO,False,unseen_unseen,-582.2969511103552,56.232823511749835,0.006695433073273982,0.005060770662085295,0.8,0.6324555320336759,119.8,11.033282980751167,-1.0031497712611714,0.7843468632746741,-466.2,48.98367074852598,0.0,0.0,-25.10822144844163,3.7049204930493027,-90.39506665279384,10.50852842100388,0.40948676214149293,0.28576695592127976
FIFO,False,variable_unseen,-329.90422495833377,31.86695199348255,0.012914022803756508,0.009866566445173365,1.2,0.9189365834726815,90.9,8.020113604072089,-0.7813774353403521,0.7268574729416871,-287.55,26.85190868448647,0.0,0.0,-20.34153103532221,2.9524697543712115,-21.295426360171348,3.1223773470799583,0.06410987250010719,0.06490406862574472
FIFO,True,burst_congested,-624.1766182232647,86.23732263451123,0.0012994112699747688,0.0027458651550935935,0.2,0.42163702135578396,164.2,18.45595357119816,-0.10395516050324578,0.2236257819772495,-517.8,72.11033213070094,0.0,0.0,-42.38808287511203,5.61993012855742,-63.906590205865186,9.178728659751798,0.022010018215900075,0.03257923478528001
FIFO,True,burst_normal,-581.3416852204824,82.1540729711517,0.01088195008416816,0.007105975980897588,1.7,1.0593499054713802,162.7,19.00321610207657,-1.049695513411181,0.7238249155558748,-513.75,73.76737083562081,0.0,0.0,-42.309124034761396,5.773152839787339,-24.331571025927637,3.428937705053899,0.0987053536178228,0.09841813150039407
FIFO,True,heavy_congested,-730.3266814760901,59.500769909457226,0.002880749677658873,0.003058087334937423,0.5,0.5270462766947299,178.7,13.350405736655842,-0.376503751555478,0.4113970036976887,-600.15,49.28209614048494,0.0,0.0,-47.214291710347524,3.8784055906116186,-82.6389407658648,7.252502950747392,0.05305475167777669,0.04674677888006379
FIFO,True,heavy_normal,-677.1138202318533,55.01529275116427,0.00914311762963334,0.006495556353498843,1.6,1.0749676997731399,177.6,13.582668695395943,-1.0980693109247943,0.8043147434117068,-597.3,49.04487740834918,0.0,0.0,-47.35379798440948,3.923151130584387,-31.517665456071352,2.7960155491755128,0.15571251955243579,0.0753643792542611
FIFO,True,normal_congested,-185.1953501813579,26.976226336765887,0.009624495399144454,0.010366002583796257,0.5,0.5270462766947299,51.2,5.731007280089987,-0.2632081438993517,0.2867969232663209,-158.85,23.124121604938853,0.0,0.0,-7.490591417864065,1.7495334599884387,-18.596503834576872,2.9230441806813743,0.004953214982397213,0.008814324859458081
FIFO,True,normal_normal,-169.59644224915093,26.22439308576671,0.031633570161949266,0.017769998370349177,1.6,0.8432740427115678,50.1,6.008327554319921,-0.8729771208354373,0.5441833228157364,-156.3,24.029148965371206,0.0,0.0,-5.785716362069801,1.568427415917387,-6.6905713096499735,1.3054954047451366,0.05282254340427124,0.03602202420655002
FIFO,True,variable_congested,-342.5442723286858,32.73689665513714,0.00619559834595174,0.008614664903683907,0.6,0.8432740427115678,91.5,7.806692285753581,-0.44879054731596774,0.7592393727568066,-288.75,26.374703789805867,0.0,0.0,-20.529130548565348,2.8318847872613975,-32.84947765870059,4.629917951538695,0.033126425896069206,0.049488590906569874
FIFO,True,variable_normal,-318.6151378719309,31.564335497680826,0.019257232529203687,0.015353237756522076,1.8,1.4757295747452437,90.3,7.803845206050667,-0.9964050534500382,0.9326270400879438,-286.05,27.06519905709175,0.0,0.0,-19.43638258333956,3.2744938747400125,-12.228133809040834,1.8823815050167232,0.09578357389948504,0.08031108025345206
Greedy,False,burst_unseen,-515.0176219983281,75.05492901426494,0.05128151185492338,0.023343278237109487,8.2,3.3928028399998595,156.2,19.932106985687415,-5.1224859517469215,1.9861708035530068,-499.95,74.79321493290685,0.0,0.0,-1.9428584962813715,0.5088861110743111,-8.745751901249289,1.6760065508881952,0.7434743509495254,0.2040781494727481
Greedy,False,heavy_unseen,-599.1841391655329,53.17325419609433,0.043552917473236905,0.019976405222188028,7.7,3.3349995835415367,171.5,14.362373681873681,-5.275485231592405,1.9966612424486037,-582.15,52.69463919603208,0.0,0.0,-2.4618130850494646,0.483832401164997,-10.126326017330912,1.484579824787903,0.8294851684398319,0.3194313608651135
Greedy,False,normal_unseen,-119.44250913765124,18.94840713483753,0.4162157041354476,0.06721032352403794,21.6,4.351245032554859,30.1,4.2282121254470875,-10.712533276525877,1.9297764017328307,-105.15,18.992761779162084,0.0,0.0,-0.9687536975184114,0.2672030761384547,-2.9477338365822034,0.3690975011350328,0.3365116729752481,0.06561751512885099
Greedy,False,unseen_congested,-514.3986201074415,52.69436050064876,0.009165105022720745,0.008601799433345715,1.1,0.9944289260117531,119.5,11.027742793115511,-1.578701742366156,1.4853680478689453,-466.05,49.10728051928756,0.0,0.0,-5.80450055067689,2.041399787417953,-41.405867609731864,5.6289628386513915,0.4404497953335091,0.3019909157201526
Greedy,False,unseen_normal,-484.0758122193778,51.14237343849601,0.04263120614809199,0.01871907303598635,5.1,2.1317702607092643,115.5,11.296508801887025,-6.371297443082035,2.8827826869015496,-456.0,50.35871324805668,0.0,0.0,-7.608784099174445,1.825463124911674,-15.775203474073441,1.3817292435042978,1.6794727969521623,0.7037059630323287
