baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,99.88829016605385,92.53381233730939,107.43114274059813,1.0,True
FIFO,unseen,140,80.94375069490292,76.50929053534045,85.2166144688167,1.0,True
RoundRobin,seen,160,17.216585736091822,13.589520157260116,20.91601143024391,0.73125,True
RoundRobin,unseen,140,26.412869082928466,22.180433597523905,30.501321921026694,0.7857142857142857,True
Random,seen,160,24.282496688474385,20.359668101009564,28.329485687711948,0.80625,True
Random,unseen,140,31.72399568601877,27.83378581461452,35.614783917605685,0.8714285714285714,True
Greedy,seen,160,8.700437180342156,4.705271754123716,12.916928091722829,0.53125,True
Greedy,unseen,140,1.2669326718384197,-1.0469483514203817,3.5667761101221394,0.5071428571428571,False
