baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,80,75.09755307103919,68.39614122010096,82.14362137616116,1.0,True
FIFO,unseen,70,70.37983243787136,64.6548719550922,76.2394572865837,1.0,True
RoundRobin,seen,80,-9.303922425768139,-15.005793116331148,-3.62349178735964,0.375,True
RoundRobin,unseen,70,17.905231665966962,10.913302628252401,24.644611430560705,0.6857142857142857,True
Random,seen,80,-0.6159739815959698,-5.594915934899099,4.251564696031719,0.5,False
Random,unseen,70,21.60605109418182,15.261184770674587,27.67943784001615,0.7571428571428571,True
Greedy,seen,80,-18.355921205605664,-22.84060262768624,-14.088421696306536,0.125,True
Greedy,unseen,70,-9.03631106048899,-12.120864865373244,-6.132082111417518,0.2714285714285714,True
