baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,80,109.43842221970495,97.27815823871545,121.86313641617515,1.0,True
FIFO,unseen,70,88.26886729822017,81.11136138923142,95.29859499575892,1.0,True
RoundRobin,seen,80,25.036946722897632,18.03109807347477,32.3664596481186,0.7625,True
RoundRobin,unseen,70,35.79426652631579,30.010888557684712,41.39722692606201,0.8571428571428571,True
Random,seen,80,33.72489516706979,26.59396357224781,41.08096504269658,0.8625,True
Random,unseen,70,39.49508595453065,34.340355292501,44.42489112716995,0.9142857142857143,True
Greedy,seen,80,15.984947943060098,8.049894736539022,24.156938589490327,0.625,True
Greedy,unseen,70,8.852723799859833,4.430617621735398,13.296316486700542,0.5571428571428572,True
