baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,101.1729692042853,95.67385586307742,106.60160978057613,1.0,True
FIFO,unseen,140,82.9739365430131,80.10394281271309,85.93992687016265,1.0,True
RoundRobin,seen,160,18.501264774323268,15.375397506282209,21.362762633600575,0.8625,True
RoundRobin,unseen,140,28.44305493103863,25.504007052019944,31.273244327859736,0.9214285714285714,True
Random,seen,160,25.567175726705823,22.735327036492194,28.4772948014585,0.94375,True
Random,unseen,140,33.75418153412894,30.8468159453863,36.61316009360389,0.9571428571428572,True
Greedy,seen,160,9.9851162185736,7.51505038504357,12.45857732207695,0.64375,True
Greedy,unseen,140,3.2971185199485893,1.9220262263629033,4.774401977054131,0.6214285714285714,True
ECT,seen,160,5.338432539909556,4.122765994386671,6.580314279830059,0.725,True
ECT,unseen,140,5.770953618701265,4.5875664662610225,7.030599465020526,0.7857142857142857,True
