baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,108.68535192220338,100.26415275709756,117.27667365218065,1.0,True
FIFO,unseen,140,89.09444375443785,84.32688395231443,93.8057076921955,1.0,True
RoundRobin,seen,160,26.013647492241347,21.186361546956277,30.914464636041092,0.75625,True
RoundRobin,unseen,140,34.56356214246338,30.65086854451448,38.21736852309517,0.8785714285714286,True
Random,seen,160,33.07955844462391,28.01836706427969,38.32426609191908,0.8625,True
Random,unseen,140,39.87468874555369,36.04264421804971,43.47218702675363,0.95,True
Greedy,seen,160,17.497498936491684,11.858204660432198,23.283082281428072,0.63125,True
Greedy,unseen,140,9.417625731373343,6.489536149516143,12.412533991626347,0.6357142857142857,True
