baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,63.08046606732199,58.3915424784286,67.80804045015496,1.0,True
FIFO,unseen,140,61.8382926664457,57.459370275327345,66.23316716389465,1.0,True
RoundRobin,seen,160,-19.591238362640045,-24.56482330006813,-14.62328054220639,0.26875,True
RoundRobin,unseen,140,7.307411054471251,2.203180004315758,12.413731134269987,0.6285714285714286,True
Random,seen,160,-12.525327410257482,-16.907623177303957,-8.039403761984488,0.28125,True
Random,unseen,140,12.618537657561555,7.77971397413097,17.401599615897272,0.6642857142857143,True
Greedy,seen,160,-28.10738691838971,-31.37696128045675,-24.768448390097134,0.025,True
Greedy,unseen,140,-17.838525356618796,-19.8261944010492,-15.847490965471726,0.02857142857142857,True
