agent,seen,condition,episode_return_mean,episode_return_std,completion_rate_mean,completion_rate_std,num_completed_mean,num_completed_std,num_failed_mean,num_failed_std,w_latency_mean,w_latency_std,w_sla_mean,w_sla_std,w_rejection_mean,w_rejection_std,w_balance_mean,w_balance_std,w_energy_mean,w_energy_std,w_utilization_mean,w_utilization_std,m_on_time_rate_mean,m_on_time_rate_std,m_sla_violation_rate_mean,m_sla_violation_rate_std,m_rejection_rate_mean,m_rejection_rate_std,m_latency_mean_ms_mean,m_latency_mean_ms_std,m_latency_p95_ms_mean,m_latency_p95_ms_std,m_latency_p99_ms_mean,m_latency_p99_ms_std,m_throughput_tps_mean,m_throughput_tps_std,m_goodput_tps_mean,m_goodput_tps_std,m_util_cpu_fleet_mean,m_util_cpu_fleet_std,m_util_variance_servers_mean,m_util_variance_servers_std,m_util_std_servers_mean,m_util_std_servers_std,m_queue_mean_fill_mean,m_queue_mean_fill_std,m_jain_server_tasks_mean,m_jain_server_tasks_std,m_jain_server_tasks_per_core_mean,m_jain_server_tasks_per_core_std,m_jain_user_completion_mean,m_jain_user_completion_std,m_energy_per_task_j_mean,m_energy_per_task_j_std
ECT,False,burst_unseen,-546.0119606084717,23.14468315843765,0.08198959270204291,0.009062559607266879,14.5,2.1213203435596424,162.0,4.242640687119285,-8.405630506762712,0.6565322424464999,-521.25,15.90990257669732,0.0,0.0,-7.861601268006752,1.0529228628669316,-9.503870679710094,5.632299065921633,1.009141846007956,0.10697358949472155,0.08198959270204291,0.009062559607266879,0.9180104072979571,0.0090625596072669,0.0,0.0,1165.2431225673754,79.91651422083712,1795.8484864434881,5.476968934327693,1939.9473972169735,105.27047631301406,0.3876642721264235,0.1842211363149127,0.3876642721264235,0.1842211363149127,0.04492367178187283,0.006743909026562176,0.0001330521769481665,0.00017283169372892126,0.00963480836458125,0.008969129804608882,0.0,0.0,0.6615231259968102,0.11271981304560674,0.8652597402597403,0.1905515027223488,0.5644732043201266,0.19420213263170055,26.6528220012287,14.994515650919967
ECT,False,heavy_unseen,-618.9805238654728,61.29753886868319,0.04455314209915437,0.03243006726516316,7.5,4.949747468305833,166.5,20.506096654409877,-5.109077032983671,3.6110457702974545,-593.25,54.09366876077089,-5.0,7.0710678118654755,-7.624706578435442,0.7641634554423643,-8.451295702006538,2.8566168499184363,0.454555447952819,0.1230677609836869,0.041485657436577686,0.028091988852975758,0.9531089371580169,0.020447591218526576,0.005405405405405406,0.007644397634449163,1335.508882620199,81.55464399275036,2043.2686051220242,453.1745233491043,2269.02964293009,769.9339989591871,0.22940374097825061,0.20759700423110397,0.21230387777715623,0.18341414577739165,0.03360492955775873,0.01207037986808931,0.0008549662223665984,0.00046931671181997607,0.02866094082501787,0.00818739194022399,0.0,0.0,0.6083333333333334,0.08249579113843045,0.6932288728590803,0.2251501590083407,0.24737039028481964,0.1323196694005153,24.014362254104093,6.061681725590679
ECT,False,normal_unseen,-90.3156539355052,19.729002375742716,0.5510204081632653,0.028861501272920222,23.0,4.242640687119285,19.0,5.656854249492381,-11.422278457387236,5.365899881995322,-75.75,13.788582233137676,0.0,0.0,-0.8848487897579551,0.5105309999181826,-2.4885254107044763,0.19687287340964466,0.22999872234449092,0.13288361271809973,0.5510204081632653,0.028861501272920222,0.4489795918367347,0.02886150127292034,0.0,0.0,966.6523536104826,288.2887460114433,1603.9305910044538,403.9805654195901,1880.5059102226264,770.9140305419962,2.1948529411764706,0.27556367208005156,2.1948529411764706,0.27556367208005156,0.06595086104358966,0.012067373996659306,0.0012138789263950287,0.00039929437672898423,0.03460104941960979,0.005769974949122328,0.0,0.0,0.46963659147869674,0.13250720308099792,0.5770682747867911,0.1316109797242966,0.8030316925466313,0.052773111800233065,30.187637388586158,4.771569685041788
ECT,False,unseen_congested,-514.3314847728318,25.183728593570383,0.00423728813559322,0.0059924303490385385,0.5,0.7071067811865476,116.0,1.4142135623730951,-0.729204806002714,1.0312513263966798,-435.0,16.97056274847714,-33.0,15.556349186104045,-5.662865122860241,0.4912908420506686,-40.05196443032017,5.979810324021007,0.11254958635134191,0.1591691514575495,0.00423728813559322,0.0059924303490385385,0.9356669123065586,0.004898160459214191,0.0600957995578482,0.0010942698898244296,2916.819224010856,,2916.819224010856,,2916.819224010856,,0.002420838578483587,0.003423582750007493,0.002420838578483587,0.003423582750007493,0.010237316029632314,0.014477751171405503,9.529558143353675e-05,0.00013476830369753737,0.006902737914535679,0.009761945576243332,0.0,0.0,0.25,,0.25,,0.06666666666666667,,171.69164736502626,22.538130280135654
ECT,False,unseen_normal,-477.90105653173725,27.901098097663823,0.02553426676492262,0.023813397126179234,3.0,2.8284271247461903,113.5,0.7071067811865476,-3.596121195161616,3.247872702155665,-454.5,33.94112549695428,0.0,0.0,-7.417035568591533,2.8111951693441446,-13.4803449151993,1.1091839630940739,1.092445147215208,1.1282244353033761,0.02553426676492262,0.023813397126179234,0.9744657332350775,0.02381339712617931,0.0,0.0,2729.8472152228446,184.96562701609875,3794.724837539674,1690.930002764173,4005.67179685272,1989.2540535660485,0.04830405959214512,0.04403391177446759,0.04830405959214512,0.04403391177446759,0.10403467798801591,0.0929799216855695,0.005151176145616813,0.006616144187854859,0.06044453181156199,0.05472905480086212,0.00036041666666666665,0.000509706138105303,0.4722222222222222,0.31426968052735443,0.4886363636363636,0.3374827819299431,0.18702848553992135,0.17021731664245077,57.821802334852165,3.7075829695521954
ECT,False,unseen_unseen,-494.6914265171595,32.745270544474856,0.012822402358142963,0.005836106079063619,1.5,0.7071067811865476,115.0,1.4142135623730951,-1.9470927389124295,0.632284615008491,-439.5,16.97056274847714,-25.0,15.556349186104045,-6.478201603772218,0.9658129894611651,-22.192337747346308,1.5081940613856588,0.42620557287142247,0.3082621529777473,0.012822402358142963,0.005836106079063619,0.9484893146647015,0.0009379456198495502,0.038688282977155486,0.006774051698913128,3021.6211219490992,887.3279974367994,3121.806307732798,745.6447489526246,3130.711657580238,733.0506824206977,0.014876430513501529,0.007968084150738663,0.014876430513501529,0.007968084150738663,0.040816853301301144,0.02254352584630755,0.0013964572626760246,0.0016095443571865393,0.03320873223369237,0.02423375192193507,0.00030416666666666667,0.00043015662522181644,0.25,0.0,0.25,0.0,0.1,0.04714045207910316,95.32081904709179,8.208609642078914
ECT,False,variable_unseen,-234.60724887878786,5.059870383430063,0.25017717930545713,0.0210478276469419,21.0,1.4142135623730951,63.0,2.8284271247461903,-12.835030554257937,0.026693191628812625,-216.75,5.303300858899107,0.0,0.0,-2.903977171049454,0.31229743078885097,-2.9315589025067483,0.1787857070899855,0.8133177490262464,0.22095947078088826,0.25017717930545713,0.0210478276469419,0.7498228206945429,0.02104782764694182,0.0,0.0,1225.2478026192225,85.05468776140752,1881.9281306374903,202.6416580625482,2364.5900409303076,264.62896996885786,1.7180715148693584,0.014325396339687067,1.7180715148693584,0.014325396339687067,0.07955713439469184,0.0042242293637439485,0.0007073188302617487,0.0004905395581840661,0.025726915741322093,0.009533586596938445,0.0,0.0,0.6563431247339293,0.055238013770852065,0.8359954514588745,0.1584845363543692,0.6443061267886391,0.009648351804476011,17.461188405133193,1.3581750357462392
ECT,True,burst_congested,-572.6656197390438,26.857797385932844,0.033871900295515865,0.006791241409956884,6.0,1.4142135623730951,170.5,4.949747468305833,-3.423181601886106,0.7891093582498244,-540.75,18.031222920256962,0.0,0.0,-8.310877170255846,2.2040340693548326,-20.643169525906373,5.8476052444734945,0.46160855900455866,0.014174206402320968,0.033871900295515865,0.006791241409956884,0.9661280997044841,0.006791241409956857,0.0,0.0,1141.777430457167,6.083068477396976,1896.242796768723,28.021664964270023,2060.061621244573,94.17807319113092,0.06288707055123971,0.0030994961282559803,0.06288707055123971,0.0030994961282559803,0.022781134018360148,0.005827094562247956,0.00013932417878832006,5.998485309549204e-05,0.011662651925853789,0.002571664381173784,0.0,0.0,0.5290909090909091,0.05528289380185735,0.5722222222222222,0.1728483242900449,0.2529645892258856,0.17180157476739982,58.21843208552554,14.466304754545252
ECT,True,burst_normal,-494.8900639797011,38.78443959487492,0.2165938584093537,0.07190993412683441,38.0,11.313708498984761,138.5,17.67766952966369,-19.056180939383108,4.638357509980496,-465.0,42.42640687119285,0.0,0.0,-9.021260784155913,0.2689884987901566,-3.970301293751954,0.3195901984995364,2.157679037589916,0.4078115363730866,0.21077990492098164,0.06368776225257226,0.7892200950790184,0.06368776225257224,0.0,0.0,1011.4440047906667,57.01230561279884,1880.3764312710318,317.2289278917521,2457.1523842267084,190.85329579387658,2.3689187426633627,0.9983606242786457,2.302073822877266,0.9038276321414064,0.1071847663779878,0.03297124986534993,0.0006417037889155106,7.792479915852218e-05,0.02530847206717413,0.001539500269943064,0.0,0.0,0.5896332985749044,0.07625299925725634,0.850912059109785,0.013190155982373263,0.7156091522421271,0.036181721058247664,11.238295781875571,0.5001417724797148
ECT,True,heavy_congested,-632.5964265175119,57.014320448426346,0.011905156690432765,0.009192036419337643,2.0,1.4142135623730951,172.0,16.97056274847714,-1.0634678437711778,1.2344124805349344,-604.5,46.66904755831214,-4.0,5.656854249492381,-7.186331160408843,0.4006111091914975,-16.045566950994846,5.401798213317915,0.19893943766305616,0.1204217986475185,0.011905156690432765,0.009192036419337643,0.9799867352014591,0.002274560032336059,0.008108108108108109,0.011466596451673744,836.0495011831977,643.2362088406649,1149.83104576926,1086.9903248166522,1180.4163927323802,1130.2445373017836,0.031762143596392456,0.02967086866591339,0.031762143596392456,0.02967086866591339,0.01026420505956432,0.007717685504862548,5.948316105695515e-05,5.535820194143387e-05,0.007220503528231613,0.0038334031501395687,0.0,0.0,0.25,0.0,0.25,0.0,0.129947266167083,0.08949228204858886,45.59629447609816,11.445903610323828
