agent,seen,condition,episode_return_mean,episode_return_std,completion_rate_mean,completion_rate_std,num_completed_mean,num_completed_std,num_failed_mean,num_failed_std,w_latency_mean,w_latency_std,w_sla_mean,w_sla_std,w_rejection_mean,w_rejection_std,w_balance_mean,w_balance_std,w_energy_mean,w_energy_std,w_utilization_mean,w_utilization_std
Greedy,True,normal_normal,-92.44421768474078,18.351905226607958,0.6358601368048922,0.07288192955176556,32.6,6.235720529843827,18.65,4.704700896583734,-13.382787677278467,3.2166834907132236,-75.3,18.095797709325833,0.0,0.0,-1.455739185108183,0.43534928056572403,-2.7254573790627323,0.14503094645684622,0.4197665567086089,0.1439995988321386
Greedy,True,variable_congested,-281.37380149184025,36.11310056362656,0.07004633207362021,0.035659286051447144,6.0,2.6950246556825492,82.15,9.455018160799725,-3.9873824126711845,1.9003135420560484,-271.125,36.78059950571769,0.0,0.0,-1.0060759348716226,0.3840651169151737,-5.524258198983698,0.8752315972417049,0.26891505468621757,0.10919315069664744
Greedy,True,variable_normal,-199.08558223500054,35.919923604300806,0.46012498877209634,0.05896225828215431,40.25,3.4622019157269213,47.9,8.53414195730118,-17.963930879984517,1.8808824786007456,-176.175,35.57803691220632,0.0,0.0,-2.654998927727227,0.5139835377326168,-3.4455805227971945,0.4827524901041204,1.153928095508419,0.17670269344656256
PPO,False,burst_unseen,-476.35060317180296,78.87401508576815,0.0945715149964018,0.03714190990955801,14.65,5.081183036718081,143.7,23.866073696446403,-7.934299880425193,2.7520010922280913,-455.925,77.63092082682682,0.0,0.0,-6.345760701694037,1.2577871177118158,-7.2592626392573205,1.4772240549651148,1.113720049573591,0.31928903404480174
PPO,False,heavy_unseen,-614.3497795915524,39.45130787034797,0.050756635820262,0.017503956987008913,9.2,3.1051739505473592,172.75,10.900869110691184,-6.47662572890169,2.6348954316266284,-591.15,39.26297975125382,0.0,0.0,-7.334313149594412,0.822166527621013,-10.278271654107868,1.488699424714299,0.8894309410516295,0.3153563990835145
PPO,False,normal_unseen,-107.04914080095594,26.116156094651892,0.5602624218346371,0.08864946700492603,28.45,4.914800418927989,22.8,6.740295167673922,-13.306945932096383,2.7828146684086437,-90.225,25.15294008136707,0.0,0.0,-1.2776007457749405,0.35625090521279823,-2.6475748045196146,0.0967360318551719,0.4079806814350004,0.13734793149562868
PPO,False,unseen_congested,-517.5644743503505,45.95414639013478,0.008834306289739236,0.006459877350367492,1.05,0.7591546545162483,119.0,9.228103528723663,-1.4477300439578447,1.0283448629163818,-470.925,42.46957889571012,0.0,0.0,-6.246838315905495,1.2298232414356345,-39.42932425651243,6.030975072260922,0.4844182660253288,0.349265636134807
PPO,False,unseen_normal,-486.79937546889704,43.9161770833265,0.04283065322530592,0.014472284585639896,5.15,1.785172850248165,114.9,8.837122656278188,-6.155305829112095,2.255746107262893,-459.225,42.658211710241545,0.0,0.0,-8.786375645190462,1.4917352060686198,-14.450361553247063,2.181073169098907,1.8176675586525737,0.5556074233542266
PPO,False,unseen_unseen,-502.1299190985727,45.166608137831204,0.018105098679430342,0.010944286308650351,2.15,1.268027892769755,117.9,9.408283024743898,-2.7205135168331247,1.5934637579888569,-467.55,42.98680948237127,0.0,0.0,-6.874508641981208,1.4371889492622962,-25.815366180271788,5.2406602451833635,0.8304692405133786,0.4867236060846012
PPO,False,variable_unseen,-251.91520409594978,41.5425863743016,0.24292829329916335,0.07547405607342719,20.95,4.81745728957114,67.2,11.709645147214507,-12.131069282328752,2.621293542718787,-234.375,42.91174388390542,0.0,0.0,-2.6072673564374607,0.46454545602707875,-3.545370668672112,0.5775261692019062,0.7435032114885366,0.153035304921075
PPO,True,burst_congested,-494.77887547511153,81.50858864226976,0.0493514050954541,0.02542693920772859,7.55,3.394655241777332,150.8,24.042944035511475,-4.345514531264451,1.994930866675208,-473.925,79.44632001016721,0.0,0.0,-5.8093443489119725,1.26966327448261,-11.215262834115302,2.155203431518333,0.5162462391802011,0.19509824903487963
PPO,True,burst_normal,-431.0947814905236,82.44251285179008,0.2298116670968755,0.07475526583084859,35.45,9.011542306222733,122.9,26.149167240438484,-17.74759214202169,4.296705281996936,-403.8,82.66075247661371,0.0,0.0,-7.630542730563033,1.4023274930107137,-4.430657144956841,0.6896610190497999,2.514010527017954,0.6235174641655138
PPO,True,heavy_congested,-627.8565386153061,36.574464720386416,0.023199270117382015,0.010213552394855751,4.25,1.943274501832843,177.7,9.750033738133263,-2.972985278225024,1.5697276743876074,-604.05,35.198646804133055,0.0,0.0,-7.018043157729321,1.0630565961390805,-14.241795567324676,1.5606044800959593,0.4262853879728016,0.15825927523428424
PPO,True,heavy_normal,-567.915972283871,51.49576071659668,0.15890018603484038,0.06518106955685943,28.65,10.868956275848928,153.3,16.989470423269758,-17.546916646572498,6.020941635499946,-538.5,55.59912911093785,0.0,0.0,-8.819992241380096,0.9606752967953133,-5.542605198660227,0.43464961664098944,2.4935418027417198,0.6885398779480538
PPO,True,normal_congested,-143.15711799884502,30.60125560336461,0.2564235551192374,0.10795148039780852,12.8,5.1257862041374995,38.45,9.489467845985885,-7.297334063927724,3.1162903142887917,-132.075,31.375600224914965,0.0,0.0,-0.8913885522410882,0.28875516951780494,-3.0985142663940044,0.5297030018686882,0.2051188837177999,0.08782318657399366
PPO,True,normal_normal,-61.2983616263247,13.697926549676861,0.8300480167478927,0.051415912795188666,42.4,6.13360029930048,8.85,3.4224491076912806,-15.089621077539695,2.850325242605069,-42.6,12.42090767087579,0.0,0.0,-1.4697669017088244,0.40124119967788396,-2.658284145520061,0.10651932184440771,0.5193104984438827,0.17250778987159887
PPO,True,variable_congested,-279.8029399923369,36.76554837312445,0.08824265127468496,0.045442033569949004,7.55,3.4408536272574173,80.6,10.065051572540238,-4.967952818590854,2.582631847732445,-267.15,37.718521207826576,0.0,0.0,-2.2029504233011377,0.3619656172368744,-5.8130982700435805,1.1051259569376894,0.3310615195986738,0.12047570504434242
PPO,True,variable_normal,-165.26719739343167,36.340381437680115,0.6220030138668722,0.07418912401126777,54.4,3.9656419139243626,33.75,8.925864251240826,-23.12754233506879,1.6046534610154717,-137.025,35.58069960260094,0.0,0.0,-3.5737325587143522,0.6330357699075053,-2.9989918390994337,0.21879891577909288,1.45806933945091,0.22083283755874952
