baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,101.2636026498051,95.70697882476286,106.66053325999562,1.0,True
FIFO,unseen,140,82.75212529474659,79.88275691793451,85.63999961744172,1.0,True
RoundRobin,seen,160,18.591898219843053,15.333049825328775,21.542924865273314,0.85625,True
RoundRobin,unseen,140,28.22124368277212,25.133901982531004,31.150515172585045,0.9285714285714286,True
Random,seen,160,25.65780917222562,22.735716146871408,28.61402635572727,0.9375,True
Random,unseen,140,33.53237028586243,30.477109077819076,36.462220744783664,0.9357142857142857,True
Greedy,seen,160,10.07574966409339,7.5392865561378795,12.589201461376867,0.69375,True
Greedy,unseen,140,3.0753072716820795,1.6641860114755307,4.561979050241229,0.5571428571428572,True
ECT,seen,160,5.429065985429348,4.113529588524763,6.789397628725527,0.7,True
ECT,unseen,140,5.549142370434755,4.273562030246633,6.87398319306481,0.7642857142857142,True
