baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,98.8589198383762,93.41301407392604,104.20278472256858,1.0,True
FIFO,unseen,140,81.60686472596268,78.6110650793008,84.56902558669253,1.0,True
RoundRobin,seen,160,16.187215408414154,12.74619542110435,19.427472607518407,0.81875,True
RoundRobin,unseen,140,27.07598311398823,23.783876653713545,30.336923722089715,0.8928571428571429,True
Random,seen,160,23.25312636079672,20.258114588015502,26.29113687885529,0.875,True
Random,unseen,140,32.38710971707854,29.163531007705764,35.58403384105086,0.9285714285714286,True
Greedy,seen,160,7.6710668526644925,5.200335973560263,10.249072256178515,0.60625,True
Greedy,unseen,140,1.9300467028981838,0.6965212624153259,3.232320746024452,0.5357142857142857,True
ECT,seen,160,3.024383174000447,1.9212150258263145,4.158376492390038,0.55625,True
ECT,unseen,140,4.40388180165086,3.1593449587059683,5.727299768867357,0.6857142857142857,True
