condition,n,return_diff,return_lo,return_hi,win_rate,verdict,on_time_diff,on_time_lo,on_time_hi
burst | congested,20,-8.231706616401729,-11.395100497543257,-4.8017522022328025,0.1,A WORSE,0.005840677939156419,0.000688153585598512,0.011205705316143103
burst | normal,20,-0.25571677373984303,-5.570212880013277,4.854180418508478,0.55,tie,0.01075100001098107,-0.0039041060482691015,0.025056231489785193
heavy | congested,20,-18.7384466904203,-21.787896331622818,-16.01682024769021,0.0,A WORSE,-0.0010037623586689776,-0.004019454884356718,0.0020031416315261755
heavy | normal,20,-7.149991798919191,-11.741829498776285,-2.642045620143226,0.2,A WORSE,-0.0070144743212227495,-0.015250872277830337,0.0012530709285533854
normal | congested,20,3.0365951383580145,-0.4714779210308545,6.388936457578707,0.6,tie,0.029524578698433,0.0037310170237957008,0.054037950917111686
normal | normal,20,32.6890953012809,27.965075529499302,37.29016842301991,1.0,A BETTER,0.20779522583167961,0.18498284219060498,0.2284171058087429
variable | congested,20,-0.5585197643125455,-2.5219932184549987,1.3385135330429292,0.5,tie,0.00187315411342343,-0.006451075831563272,0.010574165605814435
variable | normal,20,33.805489314051336,29.2622437098949,38.450452681565174,1.0,A BETTER,0.15428816597016592,0.1284427839081274,0.1819069288571838
ALL CONDITIONS,160,4.324599763737081,1.3371588658452518,7.481980277415397,0.49375,A BETTER,0.050256820735493465,0.037916601986058396,0.0642985952171416
