baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,80,113.07590794570629,101.28274187582338,124.73309244773085,1.0,True
FIFO,unseen,70,90.35927289778857,83.58307746967695,97.17771448816832,1.0,True
RoundRobin,seen,80,28.674432448898948,22.768679706405322,34.7727190826654,0.875,True
RoundRobin,unseen,70,37.88467212588417,32.59202320058856,43.07183155484025,0.9142857142857143,True
Random,seen,80,37.36238089307112,31.120818103921707,43.79388572212402,0.9375,True
Random,unseen,70,41.58549155409904,36.706034636646066,46.29258691471616,0.9571428571428572,True
Greedy,seen,80,19.622433669061422,12.391376308404228,27.08777001713302,0.65,True
Greedy,unseen,70,10.943129399428225,6.522279177230546,15.45638938403218,0.6428571428571429,True
