baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,105.02955261546806,96.42549265035443,113.63435758466738,1.0,True
FIFO,unseen,140,87.10548219271584,82.06319726373027,92.18926810068118,1.0,True
RoundRobin,seen,160,22.357848185506015,17.583185416648305,27.129080417133405,0.71875,True
RoundRobin,unseen,140,32.57460058074137,28.34224544034403,36.58706249076681,0.85,True
Random,seen,160,29.423759137888577,24.24729451413241,34.537585109012696,0.8125,True
Random,unseen,140,37.88572718383168,33.89663307670625,41.86658151305133,0.9071428571428571,True
Greedy,seen,160,13.841699629756349,8.169179109891106,19.52019870704107,0.5875,True
Greedy,unseen,140,7.428664169651327,4.302635468588135,10.66119993642521,0.6071428571428571,True
