baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,111.53081957622574,102.86265462539656,120.34277809555648,1.0,True
FIFO,unseen,140,86.85605782819569,82.15295275576277,91.56104222482186,1.0,True
RoundRobin,seen,160,28.8591151462637,24.315918098467737,33.47826687816024,0.8,True
RoundRobin,unseen,140,32.325176216221216,28.653074595286984,35.75085651327108,0.9,True
Random,seen,160,35.92502609864626,30.90600094829036,41.07803028870164,0.9,True
Random,unseen,140,37.636302819311524,34.065434511114226,41.12049832480549,0.9642857142857143,True
Greedy,seen,160,20.342966590514038,14.510634064914807,26.30055669405987,0.6375,True
Greedy,unseen,140,7.179239805131172,4.1183153522429645,10.317870804520359,0.5285714285714286,True
